Song name,Album Name,Position on Album,In Hot 100 Billboard ,Position,Year ,Song length in seconds,BPM value,Key,Sentiment,Category,Word Count
1999,1999,1,1,12,1982,216,119.2,A #m,-76,Very Negative,455
International lover,1999,11,0,0,1982,397,140,B,-4,Negative,394
Lady cab driver,1999,9,0,0,1982,499,123,B m,-70,Very Negative,431
DMSR,1999,5,0,0,1982,497,126,C #m,44,Positive,479
Free,1999,8,0,0,1982,308,119,D,98,Very Positive,345
Automatic,1999,6,0,0,1982,658,120,E b,88,Very Positive,596
Something in the water,1999,7,0,0,1982,242,126,E b m,-90,Very Negative,439
Little red corvette,1999,3,1,6,1982,295,123.2,F #m,50,Positive,214
All the critics love you in new york,1999,10,0,0,1982,359,144,F m,82,Very Positive,407
Derilious,1999,2,0,0,1982,158,100.4,G m,26,Positive,654
